Postcode,Locality,State,Longitude,Latitude,Gender,Age,MHR
800,DARWIN,NT,131,-12,F,46,0.144591822
801,DARWIN,NT,130.8367,-12.4587,F,48,0.001305254
804,PARAP,NT,130.8733,-12.4280,F,43,0.012234020
810,ALAWA,NT,131,-12,M,37,0.786789061
812,ANULA,NT,131,-12,M,31,0.019341065
820,BAGOT,NT,130.8733,-12.4280,F,47,0.017603858
821,WINNELLIE,NT,136.9471,-13.6433,M,44,0.007194196
822,ACACIA HILLS,NT,136.9471,-13.6433,F,40,0.009643607
828,BERRIMAH,NT,130.9321,-12.4320,M,64,0.002567798
830,ARCHER,NT,130.9581,-12.5214,F,29,0.037447702
831,PALMERSTON,NT,131,-12,M,46,0.005606234
832,BAKEWELL,NT,130.9937,-12.4968,F,33,0.005468649
834,VIRGINIA,NT,131.0235,-12.5469,M,45,0.012718211
835,Coolalinga,NT,131,-13,M,49,0.022808356
836,HERBERT,NT,131.1007,-12.5578,M,46,0.007156938
838,BERRY SPRINGS,NT,131,-13,M,51,0.002325681
839,COOLALINGA,NT,131,-13,F,34,0.009570843
841,DARWIN RIVER,NT,131,-13,M,29,0.037198477
846,ADELAIDE RIVER,NT,131,-13,M,42,0.035739084
850,COSSACK,NT,132,-14,M,38,0.004689790
851,KATHERINE,NT,137.0507,-15.7114,F,47,0.013131189
852,ARNOLD,NT,134.3770,-16.0784,M,35,0.100788709
860,TENNANT CREEK,NT,134.1736,-19.6413,M,25,0.019524422
861,BRUNCHILLY,NT,0,0,M,62,0.009685985
870,ALICE SPRINGS,NT,133.8631,-23.7023,M,48,0.060116096
871,ALICE SPRINGS,NT,131.2988,-21.9495,M,59,0.005795219
872,AHERRENGE,NT,131.2988,-21.9495,F,46,0.060116096
875,FLYNN,NT,133.8354,-23.7135,M,64,0.016780848
880,GAPUWIYAK,NT,135.7954,-12.5056,M,44,0.980524621
885,ALYANGULA,NT,136.4201,-13.8508,M,60,0.014262778
1001,SYDNEY,NSW,151,-34,M,64,0.004303307
1215,AUSTRALIA SQUARE,NSW,151.1763,-33.8918,M,65,0.005738002
1225,ROYAL EXCHANGE,NSW,151,-34,M,61,0.004381152
1235,SYDNEY SOUTH,NSW,151,-34,M,32,0.008876289
1335,POTTS POINT,NSW,151.1176,-33.8227,M,69,0.002436930
1355,BONDI JUNCTION,NSW,151.2625,-33.8937,F,36,0.004277064
1360,DOUBLE BAY,NSW,151.2419,-33.8758,F,59,0.121965883
1445,ROSEBERY,NSW,151.0077,-34.0831,M,57,0.003871887
1490,MIRANDA,NSW,151,-34,M,61,0.003285231
1499,SUTHERLAND,NSW,151,-34,F,48,0.021087276
1565,MILSONS POINT,NSW,151,-34,F,44,0.007681678
1595,LANE COVE,NSW,151,-34,M,60,0.007576941
1655,MANLY,NSW,151.5051,-33.3298,F,31,0.020895789
1710,EPPING,NSW,151.1167,-33.7842,F,63,0.077737287
1790,ST MARYS,NSW,151,-34,F,44,0.002173830
1835,AUBURN,NSW,151,-34,M,34,0.011358872
1860,FAIRFIELD,NSW,151,-34,F,28,0.035405513
1885,BANKSTOWN,NSW,151.0246,-33.9074,M,58,0.001339074
2000,BARANGAROO,NSW,151.2016,-33.8605,M,48,0.018775688
2001,SYDNEY,NSW,151,-34,M,37,0.025404651
2007,BROADWAY,NSW,151.1967,-33.8832,F,44,0.012583854
2008,CHIPPENDALE,NSW,151.1939,-33.8911,M,42,0.078319062
2009,DARLING ISLAND,NSW,151,-34,M,41,0.002602222
2010,DARLINGHURST,NSW,151,-34,M,54,0.010087788
2011,ELIZABETH BAY,NSW,151,-34,F,44,0.484146866
2012,STRAWBERRY HILLS,NSW,150.9318,-33.7261,F,60,0.000110671
2015,ALEXANDRIA,NSW,151.1948,-33.9101,M,50,0.006303120
2016,REDFERN,NSW,151.2062,-33.8949,F,44,0.006953046
2017,WATERLOO,NSW,151,-34,M,40,0.886309916
2018,EASTLAKES,NSW,151,-34,M,31,0.018422827
2019,BANKSMEADOW,NSW,151.2073,-33.9469,F,40,0.358680346
2020,MASCOT,NSW,151,-34,M,40,0.034188074
2021,CENTENNIAL PARK,NSW,151,-34,M,51,0.021406657
2022,BONDI JUNCTION,NSW,151,-34,M,42,0.036196877
2023,BELLEVUE HILL,NSW,151.2559,-33.8847,M,68,0.016772058
2024,BRONTE,NSW,151,-34,F,39,0.010553618
2025,WOOLLAHRA,NSW,151.2405,-33.8887,F,46,0.078392169
2026,BEN BUCKLER,NSW,151,-34,M,50,0.048941021
2027,DARLING POINT,NSW,151,-34,M,26,0.022329388
2028,DOUBLE BAY,NSW,151,-34,M,38,0.001564144
2029,ROSE BAY,NSW,151,-34,M,61,0.011961098
2030,DIAMOND BAY,NSW,151.2760,-33.8584,M,60,0.012076469
2031,CLOVELLY,NSW,151.2392,-33.9148,M,38,0.036125811
2032,DACEYVILLE,NSW,151,-34,F,38,0.033439342
2033,KENSINGTON,NSW,151,-34,M,39,0.006917019
2034,COOGEE,NSW,151,-34,F,48,0.005780045
2035,MAROUBRA,NSW,151,-34,M,67,0.010828734
2036,CHIFLEY,NSW,151,-34,F,50,0.004916479
2037,FOREST LODGE,NSW,151,-34,M,44,0.026036866
2038,ANNANDALE,NSW,151.1702,-33.8816,F,38,0.010416192
2039,ROZELLE,NSW,151.1719,-33.8672,M,34,0.037160231
2040,LEICHHARDT,NSW,151.1568,-33.8788,F,41,0.023945591
2041,BALMAIN,NSW,151.1801,-33.8586,M,44,0.003152132
2042,ENMORE,NSW,151,-34,M,42,0.011989346
2043,ERSKINEVILLE,NSW,151,-34,F,54,0.000491757
2044,ST PETERS,NSW,151,-34,F,40,0.004127658
2045,HABERFIELD,NSW,151,-34,M,39,0.007531447
2046,ABBOTSFORD,NSW,151,-34,F,47,0.007028541
2047,DRUMMOYNE,NSW,151.1657,-33.8539,F,47,0.010431589
2048,STANMORE,NSW,151.1656,-33.8942,M,35,0.006677394
2049,LEWISHAM,NSW,151.1509,-33.8972,M,39,0.014323665
2050,CAMPERDOWN,NSW,151.1760,-33.8904,F,42,0.012272405
2057,CHATSWOOD,NSW,151,-34,F,33,0.563059720
2059,NORTH SYDNEY,NSW,151,-34,M,30,0.007864267
2060,HMAS PLATYPUS,NSW,151,-34,M,48,0.008017389
2061,KIRRIBILLI,NSW,151,-34,M,49,0.029979583
2062,CAMMERAY,NSW,151,-34,F,48,0.004077657
2063,NORTHBRIDGE,NSW,151.2148,-33.8126,M,55,0.649559784
2064,ARTARMON,NSW,151.1838,-33.8132,M,46,0.024091966
2065,CROWS NEST,NSW,151,-34,F,54,0.001391824
2066,LANE COVE,NSW,151.1609,-33.8186,M,39,0.002963914
2067,CHATSWOOD,NSW,151.1771,-33.7984,M,61,0.008856197
2068,CASTLECRAG,NSW,151,-34,M,42,0.050626528
2069,CASTLE COVE,NSW,151,-34,M,36,0.002748874
2070,EAST LINDFIELD,NSW,151,-34,M,31,0.025212096
2071,EAST KILLARA,NSW,151,-34,F,51,0.003362509
2072,GORDON,NSW,151,-34,M,62,0.009633943
2073,PYMBLE,NSW,151,-34,M,55,0.010835396
2074,BOBBIN HEAD,NSW,151.1237,-33.7352,M,48,0.004837576
2075,NORTH ST IVES,NSW,151,-34,F,49,0.009995762
2076,NORMANHURST,NSW,151.1082,-33.7233,M,62,0.005201445
2077,ASQUITH,NSW,151.0975,-33.6919,F,41,0.006704575
2079,MOUNT COLAH,NSW,151.1127,-33.6666,F,44,0.013397502
2081,BEROWRA,NSW,151.1505,-33.6198,M,42,0.015212060
2082,BEROWRA CREEK,NSW,151.1387,-33.5462,M,65,0.004891994
2083,BAR POINT,NSW,151.1945,-33.5253,M,61,0.003720271
2084,AKUNA BAY,NSW,151,-34,M,59,0.008733386
2085,BELROSE,NSW,151,-34,M,41,0.019924991
2086,FRENCHS FOREST,NSW,151.2292,-33.7519,F,53,0.002722691
2087,FORESTVILLE,NSW,151,-34,F,44,0.008396809
2088,MOSMAN,NSW,151,-34,M,60,0.001962384
2089,KURRABA POINT,NSW,151.2228,-33.8415,F,45,0.006208621
2090,CREMORNE,NSW,151,-34,F,45,0.006302170
2092,SEAFORTH,NSW,151,-34,F,46,0.002875941
2093,BALGOWLAH,NSW,151.2581,-33.7932,M,52,0.006520685
2094,FAIRLIGHT,NSW,151.2732,-33.7952,F,39,0.097157129
2095,MANLY,NSW,151,-34,M,50,0.015103602
2096,CURL CURL,NSW,151,-34,F,52,0.084093719
